Actual,Predicted,Correct
cat,cat,True
ship,Automobile,False
ship,Ariplane,False
Ariplane,Ariplane,True
frog,cat,False
frog,frog,True
Automobile,Automobile,True
frog,Ariplane,False
cat,cat,True
Automobile,Automobile,True
Ariplane,cat,False
truck,truck,True
dog,dog,True
horse,horse,True
truck,truck,True
ship,ship,True
dog,dog,True
horse,Ariplane,False
ship,ship,True
frog,frog,True
horse,Ariplane,False
Ariplane,Ariplane,True
deer,Ariplane,False
truck,truck,True
dog,dog,True
bird,dog,False
deer,cat,False
Ariplane,Ariplane,True
truck,truck,True
frog,frog,True
frog,frog,True
dog,dog,True
deer,ship,False
dog,cat,False
truck,truck,True
bird,ship,False
deer,dog,False
Automobile,truck,False
truck,truck,True
dog,cat,False
deer,ship,False
frog,frog,True
dog,horse,False
frog,frog,True
Ariplane,Ariplane,True
truck,truck,True
cat,dog,False
truck,Automobile,False
horse,horse,True
frog,frog,True
truck,truck,True
ship,ship,True
Ariplane,cat,False
cat,dog,False
ship,ship,True
ship,ship,True
horse,dog,False
horse,ship,False
deer,cat,False
frog,cat,False
horse,horse,True
cat,dog,False
frog,Automobile,False
cat,Ariplane,False
frog,frog,True
bird,cat,False
Automobile,Automobile,True
bird,bird,True
cat,dog,False
horse,truck,False
bird,Ariplane,False
frog,truck,False
ship,ship,True
ship,ship,True
Ariplane,Ariplane,True
bird,bird,True
truck,Ariplane,False
cat,cat,True
cat,dog,False
ship,Ariplane,False
ship,ship,True
Automobile,Automobile,True
Automobile,Automobile,True
horse,horse,True
bird,Ariplane,False
dog,horse,False
bird,Ariplane,False
horse,Ariplane,False
ship,ship,True
truck,truck,True
Ariplane,Ariplane,True
cat,cat,True
ship,ship,True
frog,frog,True
deer,horse,False
frog,frog,True
frog,frog,True
Ariplane,Ariplane,True
Ariplane,Ariplane,True
horse,truck,False
deer,horse,False
dog,dog,True
frog,dog,False
cat,cat,True
Automobile,Automobile,True
Automobile,Automobile,True
cat,ship,False
frog,frog,True
ship,horse,False
horse,dog,False
deer,truck,False
Ariplane,Ariplane,True
frog,frog,True
bird,bird,True
Automobile,truck,False
cat,Ariplane,False
Ariplane,Ariplane,True
deer,Ariplane,False
bird,horse,False
horse,dog,False
ship,Ariplane,False
cat,dog,False
Automobile,Automobile,True
bird,horse,False
ship,Ariplane,False
Ariplane,Ariplane,True
ship,Ariplane,False
cat,cat,True
dog,cat,False
